requisito,fonte_requisito,evidenza,stato
Capacita' relazionali e predisposizione al lavoro di squadra per interagire con ambienti di ricerca e imprenditoriale che usano linguaggi diversi,Bando obiettivi,Da scrivere in forma STAR: un episodio di traduzione tra un interlocutore tecnico e uno non tecnico,lacuna
Ottima conoscenza della normativa su tutela e valorizzazione della proprieta' intellettuale,Bando art. 7,Regolamento Brevetti letto integralmente Legge 102/2023 requisiti di brevettabilita' iter internazionale,parziale
Conoscenza dei regolamenti di Ateneo,Bando art. 7,Statuto Regolamento Brevetti 1997/2024 e Regolamento Spin off 2111/2022 letti integralmente e schematizzati,solida
Capacita' di mappare e valutare il potenziale dei risultati della ricerca,Bando art. 7,Mappa dell'ecosistema e dataset di connessioni costruiti in questo pacchetto; esperienza di progettazione di basi dati strutturate,parziale
Conoscenza degli strumenti contrattuali del trasferimento tecnologico,Bando art. 7,I tre regimi dell'art. 6 del Regolamento Brevetti tipologie contrattuali standard,parziale
Conoscenza dei bandi di valorizzazione tra cui PoC e PoV,Bando art. 7,Bandi di Ateneo UIBM bando MIMIT UTT 2025-2027 partner Compagnia di San Paolo e ISPIC identificati,solida
Collaborazione universita'-impresa e open innovation,Bando art. 7,Da rafforzare con esempi concreti e casi,lacuna
Ottima conoscenza dell'inglese scientifico e legale,Bando art. 7,Da confermare lessico tecnico preparato due risposte provate a voce,parziale
Buona conoscenza degli applicativi di elaborazione dati,Bando art. 7,Da scrivere in forma STAR un caso di pulizia e analisi di dati con risultato misurabile,lacuna
Capacita' di apprendere rapidamente un dominio nuovo,Fase 1 del progetto,Da scrivere in forma STAR un dominio imparato da zero con tempi e risultato,lacuna
Rigore documentale e gestione di informazioni strutturate,Fase 4 monitoraggio,Da scrivere in forma STAR costruzione di un sistema di documentazione da zero,lacuna
Disseminazione e promozione dei risultati,Fase 3 promozione delle tecnologie,Da scrivere in forma STAR una campagna di comunicazione con risultato misurabile,lacuna
