fase_numero,fase_nome,obiettivo,tipo_conoscenza,azione,metodo_kt,rischio,mitigazione,indicatore_valutazione,orizzonte_temporale
1,Inserimento e formazione iniziale,Acquisire il contesto istituzionale e la proprieta' industriale,esplicita,Piano di formazione strutturato su regolamenti UniTo corsi Netval e catalogo interno,documentazione e studio individuale con verifica finale,il tempo dedicato alla formazione ritarda i primi risultati visibili,fissare fin dall'inizio milestone di apprendimento verificabili non solo ore di studio,quiz o autovalutazione superata su ciascun modulo entro la scadenza,settimane 1-6
1,Inserimento e formazione iniziale,Trasferire la conoscenza tacita del processo reale,tacita,Affiancamento a chi gestisce oggi le pratiche seguendo dall'inizio alla fine almeno tre comunicazioni di invenzione,shadowing e osservazione diretta,la persona che detiene la conoscenza ha poco tempo per affiancare,programmare sessioni brevi e frequenti invece di un unico blocco lungo,tre pratiche seguite interamente entro il terzo mese,mesi 1-3
1,Inserimento e formazione iniziale,Rendere esplicita la conoscenza implicita sui flussi informali,implicita,Interviste allo staff dell'Area su come funzionano davvero i passaggi non scritti tra Sezioni,workshop domande e risposte e discussione di scenari concreti,le prassi informali restano solo nella testa di poche persone,mettere ogni prassi individuata a verbale nella libreria SOP appena identificata,numero di prassi informali formalizzate in SOP,mesi 2-3
1,Inserimento e formazione iniziale,Ricostruire il quadro del portafoglio esistente,esplicita,Inventario dei brevetti per anno dipartimento e area tematica confrontato con le schede gia' su Knowledge Share,raccolta ed elaborazione di dati pubblici,i dati pubblici sono incompleti o disallineati da quelli interni,validare l'inventario con l'Area prima di considerarlo definitivo,inventario completo e scarto quantificato tra portafoglio e vetrina,mesi 1-2
2,Mappatura e connessione con l'ecosistema,Costruire uno strumento comune per il technology audit,esplicita,Griglia fissa di dodici domande da porre a ogni gruppo di ricerca comparabile tra gruppi,definizione di un template standardizzato,domande generiche che non colgono le specificita' disciplinari,adattare la griglia con un pilota su due gruppi prima di estenderla,griglia validata con l'Area entro la sesta settimana della fase,mesi 3-4
2,Mappatura e connessione con l'ecosistema,Ampliare lo scouting nelle aree meno attive,tacita,Ciclo di interviste in fisica chimica e dipartimenti umanistici partendo dai gruppi gia' abituati a rendicontare,interviste dirette e pair-visit con un collega piu' esperto,resistenza dei ricercatori a farsi intervistare su cosa producono oltre agli articoli,spiegare fin dal primo contatto cosa l'ufficio puo' offrire non solo cosa chiede,venti gruppi mappati nei primi sei mesi della fase,mesi 3-8
2,Mappatura e connessione con l'ecosistema,Rendere tracciabile l'intero ecosistema di relazioni,esplicita,Registro strutturato degli attori con ruolo referente e stato della relazione aggiornato dopo ogni contatto,centralizzazione in un repository unico,il registro diventa obsoleto se nessuno lo aggiorna dopo i contatti,assegnare l'aggiornamento come passo finale obbligatorio di ogni SOP di contatto,percentuale di contatti degli ultimi 30 giorni gia' registrati,continuo
2,Mappatura e connessione con l'ecosistema,Identificare vie di valorizzazione non brevettuale,implicita,Censimento di banche dati software archivi digitali e metodologie nei dipartimenti umanistici gia' coperti dall'art. 2 del Regolamento Brevetti; adattamento della griglia del programma europeo REVALORISE+ (HackTheResearch) come base della mappa delle risorse SSH,scenario-based discussion con i gruppi di ricerca e riuso di un framework gia' validato in cinque atenei europei,il concetto stesso di valorizzazione non brevettuale e' poco conosciuto dai ricercatori umanisti,portare il corso Netval-UNIMC Imprenditorialita' accademica nelle discipline umanistiche come esempio gia' avvenuto in Italia non solo teoria,almeno cinque risultati non brevettuali identificati piu' una mappa pilota completata,mesi 4-8
3,Sessioni operative e prime sperimentazioni,Abbassare la soglia di accesso all'ufficio,tacita,Sportello periodico ospitato a rotazione presso un dipartimento diverso ogni settimana,presenza fisica regolare e conversazioni informali,la rotazione disperde energie senza costruire relazioni durature,tornare nello stesso dipartimento almeno due volte prima di passare al successivo,un dipartimento a settimana con contatti registrati nel repository,mesi 5-12
3,Sessioni operative e prime sperimentazioni,Rendere pubblicabile la tecnologia,esplicita,Redazione di schede tecnologiche non confidenziali nel formato usato da Knowledge Share,documentazione standardizzata revisionata dall'inventore,linguaggio troppo tecnico per un lettore imprenditoriale,far leggere la bozza a una persona esterna al progetto prima di pubblicare,dieci nuove schede pubblicate nell'anno,mesi 6-12
3,Sessioni operative e prime sperimentazioni,Trasferire la conoscenza tacita del momento critico pre-pubblicazione,tacita,Modulo di formazione breve per i gruppi di ricerca sul caso del congresso fra tre settimane,scenario reale con role play e domande aperte,i ricercatori partecipano solo chi e' gia' sensibile al tema,rendere la sessione parte dell'accoglienza dei nuovi progetti finanziati non facoltativa,sei sessioni erogate con gradimento raccolto,mesi 5-10
3,Sessioni operative e prime sperimentazioni,Costruire relazioni dirette con le PMI,tacita,Incontri con imprese tramite Camera di commercio Unione Industriali e i parchi tecnologici portando problemi concreti,networking mirato e ascolto attivo,le imprese associano l'universita' a tempi lunghi e burocrazia,preparare per ogni incontro un caso gia' risolto da mostrare come prova di velocita',quindici imprese incontrate tre approfondimenti aperti,mesi 6-12
4,Consolidamento,Rendere misurabile il lavoro dell'anno,esplicita,Cruscotto degli indicatori allineato a DatiUTT e al reporting MIMIT aggiornato mensilmente,centralizzazione dei dati in un'unica fonte di verita',indicatori raccolti in modo incoerente tra un mese e l'altro,definire la formula di calcolo di ogni indicatore una volta sola e non modificarla in corsa,cruscotto aggiornato ogni mese senza interruzioni,continuo dal mese 4
4,Consolidamento,Evitare che un anno di lavoro evapori a fine contratto,esplicita,Procedure scritte per le attivita' ricorrenti versionate nella libreria SOP,capture transfer apply retain applicato ai processi chiave,le procedure restano bozze mai finalizzate per mancanza di tempo,bloccare mezza giornata fissa ogni due settimane dedicata solo a scrivere SOP,procedure scritte per almeno cinque processi entro la fine del contratto,mesi 9-12
4,Consolidamento,Trasmettere raccomandazioni utili a chi continua,esplicita,Relazione finale con cosa ha funzionato cosa no e proposta di continuita',relazione scritta piu' sessione di passaggio con successore o responsabile,la relazione finale arriva troppo tardi per essere letta con attenzione,consegnare una bozza un mese prima della scadenza e lasciare tempo per discuterla,relazione consegnata in tempo per una sessione di confronto prima della fine del contratto,mese 12
