id,titolo_sop,categoria,conoscenza_tipo,scopo,strumenti_necessari,sintesi_passaggi,owner,stato,versione,frequenza_revisione,ultimo_aggiornamento
sop-001,Ricezione e primo controllo di una comunicazione di invenzione,Proprieta' intellettuale,esplicita,garantire che ogni comunicazione sia completa e tempestiva prima di passare alla Commissione Brevetti,modulo Allegato a; registro delle comunicazioni,"ricevere il modulo > verificare la presenza del visto del responsabile di struttura > controllare che tutte le sezioni siano compilate > registrare la data di ricezione da cui parte il termine dei 6 mesi > inoltrare alla Commissione",KTM,bozza,0.1,trimestrale,2026-09-09
sop-002,Ricerca preliminare di anteriorita',Proprieta' intellettuale,esplicita,dare all'inventore un primo riscontro sullo stato della tecnica prima della valutazione formale,Espacenet; Google Patents; PATENTSCOPE,"raccogliere le parole chiave dall'inventore > interrogare almeno due banche dati > raccogliere i risultati piu' vicini > sintetizzare differenze e rischi > condividere con l'inventore prima dell'incontro con la Commissione",KTM,bozza,0.1,trimestrale,2026-09-09
sop-003,Gestione della segretezza pre-deposito,Proprieta' intellettuale,tacita,evitare divulgazioni che distruggono la novita' prima del deposito,nessuno oltre alla comunicazione diretta con l'inventore,"appena si viene a conoscenza di un'invenzione non ancora comunicata > chiedere esplicitamente all'inventore di non divulgare > verificare eventuali scadenze di pubblicazione o congressi imminenti > valutare un deposito prioritario se i tempi sono stretti > confermare per iscritto l'accordo raggiunto",KTM,bozza,0.1,trimestrale,2026-09-09
sop-004,Redazione di una scheda tecnologica non confidenziale,Valorizzazione,esplicita,produrre una scheda pubblicabile su Knowledge Share comprensibile a un imprenditore,formato standard Knowledge Share,"raccogliere problema soluzione vantaggi applicazioni e stato del titolo dall'inventore > scrivere una prima bozza in linguaggio non tecnico > far rileggere la bozza a una persona esterna al progetto > correggere e validare con l'inventore > pubblicare",KTM,bozza,0.1,semestrale,2026-09-09
sop-005,Technology audit di un gruppo di ricerca,Scouting,tacita,mappare in modo comparabile le competenze e i risultati di un gruppo,griglia standard di dodici domande,"programmare l'incontro con il responsabile del gruppo > condurre l'intervista con la griglia standard > raccogliere pubblicazioni e risultati gia' esistenti oltre agli articoli > compilare la scheda di sintesi > registrare la relazione nel repository ecosistema",KTM,bozza,0.1,semestrale,2026-09-09
sop-006,Gestione di una richiesta di NDA in ingresso,Contratti,esplicita,rispondere in modo rapido e coerente quando un'impresa chiede riservatezza prima di discutere,modello di accordo di riservatezza dell'Ateneo,"ricevere la richiesta > verificare che riguardi davvero informazioni non ancora pubbliche > usare il modello standard di Ateneo > far controllare eventuali modifiche dall'ufficio legale > far firmare prima di condividere qualunque informazione",KTM,bozza,0.1,semestrale,2026-09-09
sop-007,Preparazione di una candidatura PoC o PoV,Valorizzazione,esplicita,portare un progetto di ricerca a una candidatura PoC o PoV completa,bando PoC Instrument o PoV vigente,"verificare l'ammissibilita' della tecnologia > affiancare il gruppo di ricerca nella stesura del piano di sviluppo > definire indicatori di successo misurabili > verificare i requisiti con l'Area prima dell'invio > accompagnare la presentazione tramite piattaforma ROL",KTM,bozza,0.1,in occasione di ogni bando,2026-09-09
sop-008,Gestione di un conflitto di interessi in uno spin-off,Spin-off,tacita,evitare che un conflitto non dichiarato comprometta l'approvazione o la reputazione del progetto,Regolamento Spin off art. 5,"raccogliere gli elementi del possibile conflitto > verificare le incompatibilita' previste dal DM 168/2011 > portare il caso alla Commissione Spin off > applicare la soluzione decisa dalla Commissione > verificare che le parti si siano uniformate",KTM,bozza,0.1,in occasione di ogni caso,2026-09-09
sop-009,Sportello periodico in dipartimento,Scouting,tacita,mantenere un contatto regolare e informale con i gruppi di ricerca,calendario condiviso; sala o spazio del dipartimento ospitante,"concordare data e luogo con il dipartimento > comunicare l'iniziativa ai gruppi di ricerca > tenere lo sportello annotando ogni conversazione rilevante > registrare i nuovi contatti nel repository ecosistema > programmare il ritorno nello stesso dipartimento",KTM,bozza,0.1,mensile,2026-09-09
sop-010,Aggiornamento del registro ecosistema dopo un contatto,Gestione dati,esplicita,mantenere il registro degli stakeholder sempre aggiornato invece che una fotografia iniziale mai piu' toccata,repository ecosistema condiviso,"dopo ogni incontro rilevante aprire la scheda dello stakeholder > aggiungere data tipo di contatto esito e prossimo passo > correggere eventuali dati non piu' validi > segnalare se emergono nuovi stakeholder da aggiungere",KTM,bozza,0.1,dopo ogni contatto,2026-09-09
